25.0,46.0,25.82
26.0,39.0,26.17,Mon Sep 14 15:49:38 2015
26.0,39.0,26.17,Mon Sep 14 15:49:39 2015
26.0,39.0,26.17,Mon Sep 14 15:49:40 2015
26.0,39.0,26.17,Mon Sep 14 15:49:41 2015
26.0,39.0,26.17,Mon Sep 14 15:49:42 2015
26.0,39.0,26.17,Mon Sep 14 15:49:43 2015
26.0,39.0,26.17,Mon Sep 14 15:49:44 2015
26.0,39.0,26.17,Mon Sep 14 15:49:45 2015
26.0,39.0,26.17,Mon Sep 14 15:49:47 2015
26.0,39.0,26.17,Mon Sep 14 15:49:48 2015
26.0,39.0,26.17,Mon Sep 14 15:49:49 2015
26.0,39.0,26.17,Mon Sep 14 15:49:50 2015
26.0,39.0,26.17,Mon Sep 14 15:49:51 2015
26.0,39.0,26.17,Mon Sep 14 15:49:52 2015
26.0,39.0,26.17,Mon Sep 14 15:49:54 2015
26.0,39.0,26.17,Mon Sep 14 15:49:55 2015
26.0,39.0,26.17,Mon Sep 14 15:49:56 2015
26.0,39.0,26.17,Mon Sep 14 15:49:57 2015
26.0,39.0,26.17,Mon Sep 14 15:49:58 2015
26.0,39.0,26.17,Mon Sep 14 15:49:59 2015
26.0,39.0,26.17,Mon Sep 14 15:50:00 2015
26.0,39.0,26.17,Mon Sep 14 15:50:01 2015
26.0,39.0,26.17,Mon Sep 14 15:50:03 2015
26.0,39.0,26.17,Mon Sep 14 15:50:04 2015
26.0,39.0,26.17,Mon Sep 14 15:50:05 2015
26.0,39.0,26.17,Mon Sep 14 15:50:06 2015
26.0,39.0,26.17,Mon Sep 14 15:50:07 2015
26.0,39.0,26.17,Mon Sep 14 15:50:08 2015
26.0,39.0,26.17,Mon Sep 14 15:50:10 2015
26.0,39.0,26.17,Mon Sep 14 15:50:10 2015
26.0,39.0,26.17,Mon Sep 14 15:50:12 2015
26.0,39.0,26.17,Mon Sep 14 15:50:13 2015
